#ID	                 T1	 T3	Chi	        Q_value	                   log2(A/B)	regulated	COG_class	COG_class_annotation	GO_annotation	KEGG_annotation	Swissprot_annotation	TrEMBL_annotation	nr_annotation	nt_annotation
T4_Unigene_BMK.58859	239	70	0.000000	0	                 1.77158379103578	up	[G]	Carbohydrate transport and metabolism 	Molecular Function: alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity (GO:0003825);; Molecular Function: trehalose-phosphatase activity (GO:0004805);; Cellular Component: nucleus (GO:0005634);; Cellular Component: mitochondrion (GO:0005739);; Cellular Component: cytosol (GO:0005829);; Biological Process: trehalose biosynthetic process (GO:0005992);; Biological Process: glucose catabolic process (GO:0006007);; Biological Process: signal transduction (GO:0007165);; Biological Process: cellular response to starvation (GO:0009267);; Biological Process: pathogenesis (GO:0009405);; Cellular Component: chloroplast (GO:0009507);; Biological Process: response to wounding (GO:0009611);; Biological Process: response to sucrose stimulus (GO:0009744);; Biological Process: response to fructose stimulus (GO:0009750);; Biological Process: response to jasmonic acid stimulus (GO:0009753);; Biological Process: embryo development (GO:0009790);; Biological Process: response to inorganic substance (GO:0010035);; Biological Process: specification of floral organ identity (GO:0010093);; Biological Process: monoterpenoid biosynthetic process (GO:0016099);; Biological Process: cellular response to oxidative stress (GO:0034599);; Biological Process: cellular response to heat (GO:0034605);; Molecular Function: (E)-beta-ocimene synthase activity (GO:0034768);; Biological Process: filamentous growth of a population of unicellular organisms in response to heat (GO:0036168);; Biological Process: filamentous growth of a population of unicellular organisms in response to starvation (GO:0036170);; Biological Process: filamentous growth of a population of unicellular organisms in response to biotic stimulus (GO:0036180);; Biological Process: carpel development (GO:0048440);; Biological Process: meristem development (GO:0048507);; Molecular Function: myrcene synthase activity (GO:0050551);; Biological Process: negative regulation of flocculation (GO:0060257);; Biological Process: cellular response to biotic stimulus (GO:0071216);; Biological Process: cellular response to organic substance (GO:0071310);; Biological Process: cellular response to osmotic stress (GO:0071470);; Biological Process: plant-type cell wall organization or biogenesis (GO:0071669);; Biological Process: response to herbivore (GO:0080027);; 	K01087|0.0|osa:4346981|Os09g0397300	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 6 OS=Arabidopsis thaliana GN=TPS6 PE=1 SV=2	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	Alpha,alpha-trehalose-phosphate synthase (UDP-forming) 6 [Aegilops tauschii]	Triticum aestivum cDNA, clone: WT003_G21, cultivar: Chinese Spring
T4_Unigene_BMK.34310	20	129	0.000000	0	                -2.68929916053589	down	[C]	Energy production and conversion 	Molecular Function: DNA binding (GO:0003677);; Molecular Function: phosphoenolpyruvate carboxykinase (ATP) activity (GO:0004612);; Molecular Function: ATP binding (GO:0005524);; Cellular Component: nucleolus (GO:0005730);; Cellular Component: cytosol (GO:0005829);; Biological Process: gluconeogenesis (GO:0006094);; Biological Process: defense response to fungus, incompatible interaction (GO:0009817);; Biological Process: leaf morphogenesis (GO:0009965);; Cellular Component: membrane (GO:0016020);; Biological Process: cellular response to phosphate starvation (GO:0016036);; Molecular Function: kinase activity (GO:0016301);; Biological Process: phosphorylation (GO:0016310);; Biological Process: response to cadmium ion (GO:0046686);; 	K01610|0.0|osa:4332293|Os03g0255500	Phosphoenolpyruvate carboxykinase [ATP] OS=Zea mays PE=2 SV=1	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	predicted protein [Hordeum vulgare subsp. vulgare]	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv2003P17
T2_Unigene_BMK.53387	197	414	0.000000	0	                -1.07143513804295	down	--	--	Molecular Function: polygalacturonase activity (GO:0004650);; Molecular Function: protein binding (GO:0005515);; Biological Process: metabolic process (GO:0008152);; Cellular Component: plant-type cell wall (GO:0009505);; Biological Process: plant-type cell wall modification (GO:0009827);; Biological Process: anther dehiscence (GO:0009901);; Biological Process: fruit dehiscence (GO:0010047);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Molecular Function: hydrolase activity, acting on glycosyl bonds (GO:0016798);; Cellular Component: anchored to membrane (GO:0031225);; 	--	Probable polygalacturonase At1g80170 OS=Arabidopsis thaliana GN=At1g80170 PE=1 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	Putative polygalacturonase [Aegilops tauschii]	Triticum aestivum cDNA, clone: SET5_A03, cultivar: Chinese Spring
T1_Unigene_BMK.50483	25	1	0.000003	0.000211976616231087	4.64385618977472	up	--	--	Cellular Component: nucleus (GO:0005634);; Cellular Component: cytoplasm (GO:0005737);; Biological Process: response to stress (GO:0006950);; Biological Process: response to water stimulus (GO:0009415);; Biological Process: response to endogenous stimulus (GO:0009719);; Biological Process: response to mannitol stimulus (GO:0010555);; Biological Process: cellular response to water deprivation (GO:0042631);; Biological Process: cellular response to salt stress (GO:0071472);; Biological Process: cellular response to light stimulus (GO:0071482);; 	--	Dehydrin Rab15 OS=Triticum aestivum GN=RAB15 PE=2 SV=1	Dehydrin 1 GN=DHN15.1 OS=Triticum durum (Durum wheat) PE=2 SV=1	dehydrin 1 [Triticum durum]	T.durum Desf. (Siliana) Dehydrin mRNA, clone pTd27e
T3_Unigene_BMK.67917	11	69	0.000000	0	               -2.64909283814087	down	--	--	Biological Process: response to heat (GO:0009408);; Cellular Component: plastid (GO:0009536);; Biological Process: response to inorganic substance (GO:0010035);; 	--	Small heat shock protein, chloroplastic OS=Solanum lycopersicum GN=HSP21 PE=2 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	hypothetical protein F775_32190 [Aegilops tauschii]	PREDICTED: Brachypodium distachyon 25.3 kDa heat shock protein, chloroplastic-like (LOC100833282), mRNA
T1_Unigene_BMK.67850	31	6	0.000042	0.00217380151133501	2.36923380966572	up	[R]	General function prediction only 	Molecular Function: protein binding (GO:0005515);; Cellular Component: cytosol (GO:0005829);; Biological Process: retrograde vesicle-mediated transport, Golgi to ER (GO:0006890);; Biological Process: intra-Golgi vesicle-mediated transport (GO:0006891);; Cellular Component: actin cytoskeleton (GO:0015629);; Cellular Component: COPI vesicle coat (GO:0030126);; Biological Process: cellular metabolic process (GO:0044237);; Biological Process: primary metabolic process (GO:0044238);; Biological Process: COPI coating of Golgi vesicle (GO:0048205);; Biological Process: organic substance metabolic process (GO:0071704);; 	--	Coatomer subunit beta&apos;-2 OS=Arabidopsis thaliana GN=At1g52360 PE=2 SV=1	Putative uncharacterized protein Sb05g026175 (Fragment) GN=Sb05g026175 OS=Sorghum bicolor (Sorghum) PE=4 SV=1	hypothetical protein F775_24233 [Aegilops tauschii]	Triticum aestivum cDNA, clone: WT012_K18, cultivar: Chinese Spring
T1_Unigene_BMK.65818	69	31	0.000159	0.00695713032367973	1.15432814639129	up	--	--	Molecular Function: calcium ion binding (GO:0005509);; Molecular Function: calcium-dependent phospholipid binding (GO:0005544);; Cellular Component: nuclear envelope (GO:0005635);; Cellular Component: nucleoplasm (GO:0005654);; Cellular Component: spindle (GO:0005819);; Cellular Component: cytosol (GO:0005829);; Cellular Component: plasma membrane (GO:0005886);; Biological Process: steroid biosynthetic process (GO:0006694);; Biological Process: phagocytosis (GO:0006909);; Biological Process: cytokinesis, completion of separation (GO:0007109);; Biological Process: cell adhesion (GO:0007155);; Biological Process: regulation of cell shape (GO:0008360);; Biological Process: response to heat (GO:0009408);; Biological Process: response to cold (GO:0009409);; Biological Process: response to water deprivation (GO:0009414);; Cellular Component: thylakoid (GO:0009579);; Biological Process: response to red or far red light (GO:0009639);; Biological Process: response to salt stress (GO:0009651);; Cellular Component: midbody (GO:0030496);; Cellular Component: specific granule (GO:0042581);; Cellular Component: azurophil granule (GO:0042582);; Molecular Function: S100 protein binding (GO:0044548);; Cellular Component: phagocytic vesicle (GO:0045335);; Biological Process: alcohol biosynthetic process (GO:0046165);; Cellular Component: apoplast (GO:0048046);; Molecular Function: calcium-dependent protein binding (GO:0048306);; Biological Process: response to calcium ion (GO:0051592);; 	--	Annexin D5 OS=Arabidopsis thaliana GN=ANN5 PE=2 SV=2	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	PREDICTED: LOW QUALITY PROTEIN: annexin D5-like [Brachypodium distachyon]	Triticum aestivum cDNA, clone: WT008_E01, cultivar: Chinese Spring
T3_Unigene_BMK.5382	54	18	0.000024	0.00134738360655738	1.58496250072116	up	[RTKL]	--	Biological Process: polysaccharide biosynthetic process (GO:0000271);; Molecular Function: protein serine/threonine kinase activity (GO:0004674);; Molecular Function: ATP binding (GO:0005524);; Cellular Component: extracellular region (GO:0005576);; Cellular Component: mitochondrion (GO:0005739);; Cellular Component: plasma membrane (GO:0005886);; Biological Process: protein phosphorylation (GO:0006468);; Biological Process: protein targeting to membrane (GO:0006612);; Biological Process: microtubule nucleation (GO:0007020);; Biological Process: transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169);; Biological Process: cell-cell signaling (GO:0007267);; Biological Process: microsporogenesis (GO:0009556);; Biological Process: embryo sac egg cell differentiation (GO:0009560);; Biological Process: virus induced gene silencing (GO:0009616);; Biological Process: plant-type cell wall organization (GO:0009664);; Biological Process: cytokinin mediated signaling pathway (GO:0009736);; Biological Process: brassinosteroid mediated signaling pathway (GO:0009742);; Biological Process: multidimensional cell growth (GO:0009825);; Biological Process: determination of bilateral symmetry (GO:0009855);; Biological Process: organ morphogenesis (GO:0009887);; Biological Process: cell tip growth (GO:0009932);; Biological Process: polarity specification of adaxial/abaxial axis (GO:0009944);; Biological Process: positive regulation of flavonoid biosynthetic process (GO:0009963);; Biological Process: meristem initiation (GO:0010014);; Biological Process: xylem and phloem pattern formation (GO:0010051);; Biological Process: regulation of meristem growth (GO:0010075);; Biological Process: leaf senescence (GO:0010150);; Biological Process: pollen maturation (GO:0010152);; Biological Process: production of ta-siRNAs involved in RNA interference (GO:0010267);; Biological Process: regulation of plant-type hypersensitive response (GO:0010363);; Biological Process: regulation of hormone levels (GO:0010817);; Biological Process: cellulose metabolic process (GO:0030243);; Molecular Function: receptor serine/threonine kinase binding (GO:0033612);; Biological Process: production of miRNAs involved in gene silencing by miRNA (GO:0035196);; Biological Process: anthocyanin accumulation in tissues in response to UV light (GO:0043481);; Biological Process: protein autophosphorylation (GO:0046777);; Biological Process: flower morphogenesis (GO:0048439);; Biological Process: anther development (GO:0048653);; Biological Process: root hair elongation (GO:0048767);; 	--	Somatic embryogenesis receptor kinase 1 OS=Arabidopsis thaliana GN=SERK1 PE=1 SV=2	Somatic embryogenesis receptor kinase 1 GN=SERK1 OS=Triticum aestivum (Wheat) PE=2 SV=1	somatic embryogenesis receptor kinase 1 [Triticum aestivum]	Triticum aestivum cDNA, clone: WT005_G13, cultivar: Chinese Spring
T1_Unigene_BMK.54577	38	6	0.000002	0.000146142247510669	2.66296501272243	up	--	--	Molecular Function: acid phosphatase activity (GO:0003993);; Molecular Function: protein serine/threonine phosphatase activity (GO:0004722);; Cellular Component: extracellular region (GO:0005576);; Cellular Component: cell wall (GO:0005618);; Biological Process: tryptophan catabolic process (GO:0006569);; Cellular Component: chloroplast (GO:0009507);; Biological Process: systemic acquired resistance (GO:0009627);; Biological Process: indoleacetic acid biosynthetic process (GO:0009684);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Biological Process: cellular response to phosphate starvation (GO:0016036);; Biological Process: galactolipid biosynthetic process (GO:0019375);; Biological Process: regulation of defense response (GO:0031347);; Biological Process: negative regulation of transcription, DNA-dependent (GO:0045892);; Molecular Function: metal ion binding (GO:0046872);; 	--	Probable inactive purple acid phosphatase 1 OS=Arabidopsis thaliana GN=PAP1 PE=2 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	predicted protein [Hordeum vulgare subsp. vulgare]	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv1067B01
T3_Unigene_BMK.4814	34	74	0.000107	0.00492516397849462	-1.12199052437861	down	--	--	Molecular Function: binding (GO:0005488);; Biological Process: cellular metabolic process (GO:0044237);; Biological Process: primary metabolic process (GO:0044238);; Cellular Component: intracellular part (GO:0044424);; Biological Process: organic substance metabolic process (GO:0071704);; 	--	Extensin OS=Nicotiana tabacum GN=HRGPNT3 PE=2 SV=1	Uncharacterized protein OS=Zea mays (Maize) PE=2 SV=1	Ubiquitin carboxyl-terminal hydrolase 9 [Triticum urartu]	Triticum aestivum cDNA, clone: WT007_B13, cultivar: Chinese Spring
T1_Unigene_BMK.71184	15	0	0.000112	0.00509369455511288	13.8726748802706	up	[TZDR]	--	Biological Process: MAPK cascade (GO:0000165);; Biological Process: response to molecule of bacterial origin (GO:0002237);; Biological Process: respiratory burst involved in defense response (GO:0002679);; Biological Process: skeletal muscle contraction (GO:0003009);; Molecular Function: actin binding (GO:0003779);; Molecular Function: calcium ion binding (GO:0005509);; Cellular Component: troponin complex (GO:0005861);; Biological Process: protein targeting to membrane (GO:0006612);; Biological Process: cellular membrane fusion (GO:0006944);; Cellular Component: plastid (GO:0009536);; Biological Process: double fertilization forming a zygote and endosperm (GO:0009567);; Biological Process: detection of external stimulus (GO:0009581);; Biological Process: detection of biotic stimulus (GO:0009595);; Biological Process: salicylic acid biosynthetic process (GO:0009697);; Biological Process: systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862);; Biological Process: jasmonic acid mediated signaling pathway (GO:0009867);; Biological Process: trichome branching (GO:0010091);; Biological Process: response to chitin (GO:0010200);; Biological Process: regulation of hydrogen peroxide metabolic process (GO:0010310);; Biological Process: regulation of plant-type hypersensitive response (GO:0010363);; Molecular Function: troponin T binding (GO:0031014);; Biological Process: negative regulation of defense response (GO:0031348);; Biological Process: response to endoplasmic reticulum stress (GO:0034976);; Biological Process: defense response to bacterium (GO:0042742);; Biological Process: negative regulation of programmed cell death (GO:0043069);; Cellular Component: intracellular membrane-bounded organelle (GO:0043231);; Biological Process: defense response to fungus (GO:0050832);; 	--	Probable calcium-binding protein CML30 OS=Arabidopsis thaliana GN=CML30 PE=2 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	predicted protein [Hordeum vulgare subsp. vulgare]	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv1048L18
T4_Unigene_BMK.52261	394	160	0.000000	0	                1.30012372456901	up	--	--	Molecular Function: protein binding (GO:0005515);; Cellular Component: nucleus (GO:0005634);; Biological Process: mRNA processing (GO:0006397);; Cellular Component: plastid (GO:0009536);; Molecular Function: hydrolase activity (GO:0016787);; Biological Process: response to stimulus (GO:0050896);; Molecular Function: organic cyclic compound binding (GO:0097159);; 	--	YTH domain family protein 2 OS=Macaca fascicularis GN=YTHDF2 PE=2 SV=1	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	hypothetical protein F775_28207 [Aegilops tauschii]	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv3032D06
T2_Unigene_BMK.61918	13	40	0.000195	0.00819718085106383    -1.62148837674627	down	[S]	Function unknown 	Biological Process: maltose metabolic process (GO:0000023);; Molecular Function: nucleotide binding (GO:0000166);; Biological Process: polysaccharide biosynthetic process (GO:0000271);; Molecular Function: protein kinase activity (GO:0004672);; Molecular Function: protein serine/threonine kinase activity (GO:0004674);; Molecular Function: protein binding (GO:0005515);; Molecular Function: ATP binding (GO:0005524);; Cellular Component: nucleus (GO:0005634);; Cellular Component: cytosol (GO:0005829);; Cellular Component: plasma membrane (GO:0005886);; Biological Process: starch catabolic process (GO:0005983);; Biological Process: protein phosphorylation (GO:0006468);; Biological Process: organelle organization (GO:0006996);; Biological Process: signal transduction (GO:0007165);; Biological Process: response to water deprivation (GO:0009414);; Cellular Component: chloroplast stroma (GO:0009570);; Biological Process: response to external stimulus (GO:0009605);; Biological Process: response to bacterium (GO:0009617);; Biological Process: response to hormone stimulus (GO:0009725);; Biological Process: determination of bilateral symmetry (GO:0009855);; Biological Process: organ morphogenesis (GO:0009887);; Biological Process: regulation of meristem structural organization (GO:0009934);; Biological Process: polarity specification of adaxial/abaxial axis (GO:0009944);; Biological Process: meristem initiation (GO:0010014);; Biological Process: root morphogenesis (GO:0010015);; Biological Process: xylem and phloem pattern formation (GO:0010051);; Biological Process: procambium histogenesis (GO:0010067);; Biological Process: regulation of meristem growth (GO:0010075);; Biological Process: xylem development (GO:0010089);; Biological Process: secondary shoot formation (GO:0010223);; Biological Process: seed maturation (GO:0010431);; Biological Process: regulation of gene expression (GO:0010468);; Biological Process: microsporocyte differentiation (GO:0010480);; Biological Process: regulation of hormone levels (GO:0010817);; Biological Process: cell growth (GO:0016049);; Molecular Function: beta-amylase activity (GO:0016161);; Molecular Function: receptor serine/threonine kinase binding (GO:0033612);; Biological Process: response to lipid (GO:0033993);; Biological Process: cellular carbohydrate biosynthetic process (GO:0034637);; Biological Process: cellular macromolecule biosynthetic process (GO:0034645);; Molecular Function: protein self-association (GO:0043621);; Biological Process: gametophyte development (GO:0048229);; Biological Process: flower morphogenesis (GO:0048439);; Biological Process: positive regulation of biological process (GO:0048518);; Biological Process: negative regulation of biological process (GO:0048519);; Biological Process: regulation of post-embryonic development (GO:0048580);; Biological Process: developmental growth involved in morphogenesis (GO:0060560);; Biological Process: cell wall organization (GO:0071555);; Biological Process: plant-type cell wall organization or biogenesis (GO:0071669);; Biological Process: regulation of reproductive process (GO:2000241);; 	--	Leucine-rich repeat receptor-like protein kinase TDR OS=Arabidopsis thaliana GN=TDR PE=1 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	hypothetical protein OsJ_26033 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group genomic DNA, chromosome 8, PAC clone:P0015A04
T2_Unigene_BMK.38696	34	8	0.000064	0.00316268975468975	2.08746284125034	up	[O]	Posttranslational modification, protein turnover, chaperones 	Cellular Component: mitochondrion (GO:0005739);; Biological Process: response to stress (GO:0006950);; Cellular Component: plastid (GO:0009536);; Molecular Function: ion binding (GO:0043167);; 	--	Chaperone protein dnaJ 11, chloroplastic OS=Arabidopsis thaliana GN=ATJ11 PE=1 SV=2	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	predicted protein [Hordeum vulgare subsp. vulgare] 	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv2144J10
T3_Unigene_BMK.613	55	177	0.000000	0	               -1.68624583655834	down	--	--	Cellular Component: extracellular region (GO:0005576);; Biological Process: water transport (GO:0006833);; Biological Process: response to salt stress (GO:0009651);; Biological Process: response to fructose stimulus (GO:0009750);; Biological Process: regulation of meristem growth (GO:0010075);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Biological Process: cellular cation homeostasis (GO:0030003);; Cellular Component: anchored to plasma membrane (GO:0046658);; Biological Process: divalent metal ion transport (GO:0070838);; 	--	Uncharacterized GPI-anchored protein At3g06035 OS=Arabidopsis thaliana GN=At3g06035 PE=2 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	hypothetical protein F775_44025 [Aegilops tauschii]	Triticum aestivum cDNA, clone: WT004_E22, cultivar: Chinese Spring
