#SwissprotGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.50599	sp|Q9ZVJ6|ANXD4_ARATH	2.87005e-78	141/314(44.90)	249	Annexin D4 OS=Arabidopsis thaliana GN=ANN4 PE=2 SV=1
T1_Unigene_BMK.50621	sp|Q6YZZ6|GL84_ORYSJ	6.15434e-127	182/226(80.53)	366	Germin-like protein 8-4 OS=Oryza sativa subsp. japonica GN=GER1 PE=2 SV=1
T1_Unigene_BMK.51076	sp|Q06398|GSTU6_ORYSJ	1.52179e-73	118/217(54.38)	230	Probable glutathione S-transferase GSTU6 OS=Oryza sativa subsp. japonica GN=GSTU6 PE=2 SV=2
T1_Unigene_BMK.51087	sp|Q9SXA6|ENDO1_ARATH	1.65107e-149	197/298(66.11)	431	Endonuclease 1 OS=Arabidopsis thaliana GN=ENDO1 PE=1 SV=1
T1_Unigene_BMK.51156	sp|Q6S6W0|GP2_EHV1V	2.61352e-08	50/152(32.89)	59	Glycoprotein gp2 OS=Equine herpesvirus 1 (strain V592) GN=71 PE=3 SV=1
T1_Unigene_BMK.51172	sp|Q93WY4|WRK12_ARATH	1.10404e-58	101/188(53.72)	192	Probable WRKY transcription factor 12 OS=Arabidopsis thaliana GN=WRKY12 PE=2 SV=1
T1_Unigene_BMK.51254	sp|O81865|P2A01_ARATH	7.19773e-57	93/183(50.82)	189	Protein PHLOEM PROTEIN 2-LIKE A1 OS=Arabidopsis thaliana GN=PP2A1 PE=2 SV=1
T1_Unigene_BMK.51376	sp|C9XXI1|ENTH_CROTZ	4.62084e-13	40/122(32.79)	68	Proofreading thioesterase EntH OS=Cronobacter turicensis (strain DSM 18703 / LMG 23827 / z3032) GN=entH PE=3 SV=1
T1_Unigene_BMK.51533	sp|Q8LEJ6|FLA11_ARATH	7.74284e-69	121/224(54.02)	217	Fasciclin-like arabinogalactan protein 11 OS=Arabidopsis thaliana GN=FLA11 PE=2 SV=2
T1_Unigene_BMK.51543	sp|Q9T0K5|LRX3_ARATH	2.38829e-19	56/124(45.16)	94	Leucine-rich repeat extensin-like protein 3 OS=Arabidopsis thaliana GN=LRX3 PE=1 SV=1
T1_Unigene_BMK.51562	sp|Q5G8Z3|EA1_MAIZE	2.59473e-18	42/74(56.76)	80	Protein EGG APPARATUS-1 OS=Zea mays GN=Ea1 PE=2 SV=1
T1_Unigene_BMK.51585	sp|P14009|14KD_DAUCA	7.59094e-37	69/120(57.50)	130	14 kDa proline-rich protein DC2.15 OS=Daucus carota PE=2 SV=1
T1_Unigene_BMK.51637	sp|Q9LEV3|CBSX3_ARATH	1.67451e-105	157/206(76.21)	314	CBS domain-containing protein CBSX3, mitochondrial OS=Arabidopsis thaliana GN=CBSX3 PE=1 SV=1
T1_Unigene_BMK.51662	sp|P50699|TLPH_ARATH	2.6355e-70	106/224(47.32)	220	Thaumatin-like protein OS=Arabidopsis thaliana GN=At1g18250 PE=2 SV=2
T1_Unigene_BMK.51716	sp|P24805|TSJT1_TOBAC	3.56512e-27	56/152(36.84)	109	Stem-specific protein TSJT1 OS=Nicotiana tabacum GN=TSJT1 PE=2 SV=1
T1_Unigene_BMK.51819	sp|Q39266|ZFP7_ARATH	4.93975e-18	58/146(39.73)	84	Zinc finger protein 7 OS=Arabidopsis thaliana GN=ZFP7 PE=2 SV=1
T1_Unigene_BMK.51853	sp|O65351|SUBL_ARATH	0	368/751(49.00)	652	Subtilisin-like protease OS=Arabidopsis thaliana GN=ARA12 PE=1 SV=1
T1_Unigene_BMK.51900	sp|Q6I544|GL52_ORYSJ	4.54207e-128	184/220(83.64)	369	Germin-like protein 5-1 OS=Oryza sativa subsp. japonica GN=Os05g0277500 PE=2 SV=1
T1_Unigene_BMK.52465	sp|Q9XGP7|OMT15_ORYSJ	8.90672e-138	200/248(80.65)	403	Tricin synthase 1 OS=Oryza sativa subsp. japonica GN=ROMT-15 PE=1 SV=1
T1_Unigene_BMK.52596	sp|Q5ZMJ9|SRRM1_CHICK	9.51676e-08	67/243(27.57)	58	Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1
T1_Unigene_BMK.52612	sp|Q766C3|NEP1_NEPGR	1.95214e-75	162/461(35.14)	248	Aspartic proteinase nepenthesin-1 OS=Nepenthes gracilis GN=nep1 PE=1 SV=1
T1_Unigene_BMK.52824	sp|Q9M8T0|Y3288_ARATH	4.24293e-15	61/176(34.66)	80	Probable inactive receptor kinase At3g02880 OS=Arabidopsis thaliana GN=At3g02880 PE=1 SV=1
T1_Unigene_BMK.52844	sp|Q9TT99|ATOX1_CANFA	5.01028e-08	26/58(44.83)	52	Copper transport protein ATOX1 OS=Canis familiaris GN=ATOX1 PE=3 SV=1
T1_Unigene_BMK.52927	sp|Q7G794|LOX3_ORYSJ	7.28157e-46	71/88(80.68)	159	Putative linoleate 9S-lipoxygenase 3 OS=Oryza sativa subsp. japonica GN=Os03g0700400 PE=3 SV=1
T1_Unigene_BMK.52928	sp|P29250|LOX2_ORYSJ	7.39094e-66	101/137(73.72)	217	Linoleate 9S-lipoxygenase 2 OS=Oryza sativa subsp. japonica GN=LOX1.1 PE=2 SV=2
T1_Unigene_BMK.53019	sp|Q9LEH3|PER15_IPOBA	1.46583e-64	109/191(57.07)	207	Peroxidase 15 OS=Ipomoea batatas GN=pod PE=1 SV=1
T1_Unigene_BMK.53056	sp|P92934|AAP6_ARATH	3.60574e-85	114/206(55.34)	221	Amino acid permease 6 OS=Arabidopsis thaliana GN=AAP6 PE=1 SV=1
T1_Unigene_BMK.53079	sp|Q6H849|NRL4_ORYSJ	0	271/345(78.55)	558	Bifunctional nitrilase/nitrile hydratase NIT4 OS=Oryza sativa subsp. japonica GN=NIT4 PE=2 SV=1
T1_Unigene_BMK.53201	sp|Q17RH7|TPRXL_HUMAN	1.30676e-14	51/173(29.48)	74	Putative protein TPRXL OS=Homo sapiens GN=TPRXL PE=5 SV=2
T1_Unigene_BMK.53225	sp|Q9LZX1|LOR15_ARATH	2.571e-72	107/204(52.45)	228	Protein LURP-one-related 15 OS=Arabidopsis thaliana GN=At5g01750 PE=1 SV=1
T1_Unigene_BMK.53449	sp|Q94F47|UBC28_ARATH	5.13686e-96	132/149(88.59)	283	Ubiquitin-conjugating enzyme E2 28 OS=Arabidopsis thaliana GN=UBC28 PE=2 SV=1
T1_Unigene_BMK.53536	sp|Q852K5|SAP6_ORYSJ	1.75719e-86	121/161(75.16)	261	Zinc finger A20 and AN1 domain-containing stress-associated protein 6 OS=Oryza sativa subsp. japonica GN=SAP6 PE=2 SV=1
T1_Unigene_BMK.53587	sp|Q9FLT2|IPMKB_ARATH	2.5933e-87	146/285(51.23)	272	Inositol polyphosphate multikinase beta OS=Arabidopsis thaliana GN=IPK2b PE=1 SV=1
T1_Unigene_BMK.53862	sp|Q07512|FLS_PETHY	2.21818e-72	127/332(38.25)	234	Flavonol synthase/flavanone 3-hydroxylase OS=Petunia hybrida GN=FL PE=2 SV=1
T1_Unigene_BMK.53934	sp|Q9LPF1|WTR8_ARATH	6.0737e-121	189/365(51.78)	364	WAT1-related protein At1g44800 OS=Arabidopsis thaliana GN=At1g44800 PE=1 SV=1
T1_Unigene_BMK.54226	sp|Q9FJ45|GDL83_ARATH	1.12559e-84	134/323(41.49)	265	GDSL esterase/lipase At5g45910 OS=Arabidopsis thaliana GN=At5g45910 PE=2 SV=1
T1_Unigene_BMK.54239	sp|P87132|YFK5_SCHPO	3.20974e-09	49/163(30.06)	61	Uncharacterized protein C167.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC167.05 PE=1 SV=2
T1_Unigene_BMK.54378	sp|Q7XDB8|LOGLA_ORYSJ	2.56707e-135	194/208(93.27)	389	Probable cytokinin riboside 5&apos;-monophosphate phosphoribohydrolase LOGL10 OS=Oryza sativa subsp. japonica GN=LOGL10 PE=2 SV=1
T1_Unigene_BMK.54449	sp|Q9FEQ8|PER2_MAIZE	8.20699e-10	33/76(43.42)	58	Peroxidase 2 OS=Zea mays GN=PER2 PE=2 SV=1
T1_Unigene_BMK.54532	sp|Q9FJ45|GDL83_ARATH	6.73253e-34	61/129(47.29)	127	GDSL esterase/lipase At5g45910 OS=Arabidopsis thaliana GN=At5g45910 PE=2 SV=1
T1_Unigene_BMK.54533	sp|Q9FPE4|GDL12_ARATH	1.26635e-19	41/70(58.57)	88	GDSL esterase/lipase At1g28660 OS=Arabidopsis thaliana GN=At1g28660 PE=2 SV=1
T1_Unigene_BMK.54534	sp|Q9LZB2|GDL74_ARATH	1.4518e-32	58/132(43.94)	120	GDSL esterase/lipase At5g03980 OS=Arabidopsis thaliana GN=At5g03980 PE=2 SV=1
T1_Unigene_BMK.54745	sp|Q62376|RU17_MOUSE	3.81852e-09	48/149(32.21)	56	U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus GN=Snrnp70 PE=1 SV=2
T1_Unigene_BMK.54787	sp|Q9FN03|UVR8_ARATH	0	237/342(69.30)	526	Ultraviolet-B receptor UVR8 OS=Arabidopsis thaliana GN=UVR8 PE=1 SV=1
T1_Unigene_BMK.54803	sp|Q05047|C72A1_CATRO	7.41449e-156	244/556(43.88)	463	Secologanin synthase OS=Catharanthus roseus GN=CYP72A1 PE=2 SV=1
T1_Unigene_BMK.54813	sp|P17437|XP2_XENLA	3.64787e-09	46/134(34.33)	60	Skin secretory protein xP2 OS=Xenopus laevis GN=p2 PE=1 SV=2
T1_Unigene_BMK.54948	sp|C5X2M4|THI42_SORBI	0	306/353(86.69)	588	Thiamine thiazole synthase 2, chloroplastic OS=Sorghum bicolor GN=THI1-2 PE=3 SV=1
T1_Unigene_BMK.55165	sp|A8QW51|OMT2_SORBI	2.23703e-148	216/366(59.02)	431	Probable O-methyltransferase 2 OS=Sorghum bicolor GN=OMT2 PE=2 SV=1
T1_Unigene_BMK.55275	sp|Q0E4A8|HS189_ORYSJ	1.37609e-78	129/186(69.35)	239	18.9 kDa heat shock protein OS=Oryza sativa subsp. japonica GN=HSP18.9 PE=2 SV=1
T1_Unigene_BMK.55301	sp|Q9LJU7|PPA18_ARATH	0	300/445(67.42)	640	Purple acid phosphatase 18 OS=Arabidopsis thaliana GN=PAP18 PE=2 SV=1
T1_Unigene_BMK.55481	sp|Q9SZ67|WRK19_ARATH	3.84139e-71	115/227(50.66)	260	Probable WRKY transcription factor 19 OS=Arabidopsis thaliana GN=WRKY19 PE=2 SV=1
T1_Unigene_BMK.55771	sp|Q9FJZ9|PER72_ARATH	4.68752e-150	218/336(64.88)	432	Peroxidase 72 OS=Arabidopsis thaliana GN=PER72 PE=1 SV=1
T1_Unigene_BMK.55818	sp|Q9H7T3|CJ095_HUMAN	1.85354e-11	72/272(26.47)	67	Uncharacterized protein C10orf95 OS=Homo sapiens GN=C10orf95 PE=2 SV=1
T1_Unigene_BMK.55848	sp|P15490|VSPA_SOYBN	4.75663e-28	63/167(37.72)	110	Stem 28 kDa glycoprotein OS=Glycine max GN=VSPA PE=2 SV=1
T1_Unigene_BMK.55865	sp|Q8H3I4|GLO4_ORYSJ	0	294/366(80.33)	586	Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 OS=Oryza sativa subsp. japonica GN=GLO4 PE=2 SV=2
T1_Unigene_BMK.55974	sp|Q6H5L4|TPP7_ORYSJ	0	316/375(84.27)	622	Probable trehalose-phosphate phosphatase 7 OS=Oryza sativa subsp. japonica GN=TPP7 PE=2 SV=2
T1_Unigene_BMK.56043	sp|Q8TAX7|MUC7_HUMAN	7.32012e-13	56/174(32.18)	71	Mucin-7 OS=Homo sapiens GN=MUC7 PE=1 SV=2
T1_Unigene_BMK.56408	sp|Q8H8U5|IN21B_ORYSJ	2.35666e-144	199/243(81.89)	412	Protein IN2-1 homolog B OS=Oryza sativa subsp. japonica GN=GSTZ5 PE=2 SV=1
T1_Unigene_BMK.56552	sp|O04130|SERA_ARATH	0	429/586(73.21)	836	D-3-phosphoglycerate dehydrogenase, chloroplastic OS=Arabidopsis thaliana GN=At1g17745 PE=1 SV=2
T1_Unigene_BMK.56554	sp|P20115|CISY4_ARATH	0	389/473(82.24)	807	Citrate synthase 4, mitochondrial OS=Arabidopsis thaliana GN=CSY4 PE=1 SV=3
T1_Unigene_BMK.56576	sp|Q4JL76|MYBA2_ORYSJ	1.46039e-41	87/205(42.44)	152	Myb-related protein MYBAS2 OS=Oryza sativa subsp. japonica GN=MYBAS2 PE=2 SV=1
T1_Unigene_BMK.56578	sp|C1B313|IF2_RHOOB	1.3979e-11	51/152(33.55)	69	Translation initiation factor IF-2 OS=Rhodococcus opacus (strain B4) GN=infB PE=3 SV=1
T1_Unigene_BMK.56670	sp|Q9SD84|E13L3_ARATH	1.71807e-29	66/168(39.29)	115	Glucan endo-1,3-beta-glucosidase-like protein 3 OS=Arabidopsis thaliana GN=At5g08000 PE=1 SV=1
T1_Unigene_BMK.56775	sp|Q9UQ35|SRRM2_HUMAN	5.37316e-16	81/230(35.22)	83	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2
T1_Unigene_BMK.56815	sp|Q9UQ35|SRRM2_HUMAN	1.42876e-17	95/261(36.40)	88	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2
T1_Unigene_BMK.57303	sp|Q9LJQ5|RTNLI_ARATH	1.1228e-51	83/200(41.50)	174	Reticulon-like protein B9 OS=Arabidopsis thaliana GN=RTNLB9 PE=2 SV=1
T1_Unigene_BMK.57321	sp|Q7XJE6|MCA1_ARATH	6.95196e-87	156/362(43.09)	278	Metacaspase-1 OS=Arabidopsis thaliana GN=AMC1 PE=1 SV=1
T1_Unigene_BMK.57499	sp|P08640|MUC1_YEAST	4.35792e-38	159/541(29.39)	156	Flocculation protein FLO11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MUC1 PE=1 SV=2
T1_Unigene_BMK.57519	sp|Q43497|MDAR_SOLLC	0	331/433(76.44)	684	Monodehydroascorbate reductase OS=Solanum lycopersicum GN=AFRR PE=1 SV=1
T1_Unigene_BMK.57547	sp|Q96518|PER16_ARATH	1.73576e-115	174/321(54.21)	346	Peroxidase 16 OS=Arabidopsis thaliana GN=PER16 PE=1 SV=2
T1_Unigene_BMK.57549	sp|P10496|GRP2_PHAVU	2.08488e-23	75/180(41.67)	102	Glycine-rich cell wall structural protein 1.8 OS=Phaseolus vulgaris PE=2 SV=1
T1_Unigene_BMK.58073	sp|Q9LX07|ANXD7_ARATH	9.98646e-127	185/313(59.11)	370	Annexin D7 OS=Arabidopsis thaliana GN=ANNAT7 PE=2 SV=1
T1_Unigene_BMK.58183	sp|Q39635|Y38K_CORSE	3.68324e-39	83/231(35.93)	151	Uncharacterized 38.1 kDa protein OS=Corydalis sempervirens PE=2 SV=1
T1_Unigene_BMK.58438	sp|P43279|MAOC_ORYSJ	0	412/483(85.30)	841	NADP-dependent malic enzyme, chloroplastic OS=Oryza sativa subsp. japonica GN=ME6 PE=2 SV=2
T1_Unigene_BMK.58588	sp|Q9SJ56|BLH1_ARATH	2.1627e-84	184/421(43.71)	275	BEL1-like homeodomain protein 1 OS=Arabidopsis thaliana GN=BLH1 PE=1 SV=1
T1_Unigene_BMK.58785	sp|Q9SZ67|WRK19_ARATH	5.47666e-73	138/292(47.26)	266	Probable WRKY transcription factor 19 OS=Arabidopsis thaliana GN=WRKY19 PE=2 SV=1
T1_Unigene_BMK.58786	sp|Q652Q8|URH2_ORYSJ	0	263/328(80.18)	531	Probable uridine nucleosidase 2 OS=Oryza sativa subsp. japonica GN=URH2 PE=2 SV=1
T1_Unigene_BMK.58796	sp|Q4R1I9|ANGLT_ROSHC	8.41707e-101	188/482(39.00)	318	Anthocyanidin 5,3-O-glucosyltransferase OS=Rosa hybrid cultivar GN=RhGT1 PE=2 SV=1
T1_Unigene_BMK.58960	sp|A2XMN2|GSTU1_ORYSI	6.62424e-101	153/230(66.52)	299	Probable glutathione S-transferase GSTU1 OS=Oryza sativa subsp. indica GN=GSTU1 PE=2 SV=1
T1_Unigene_BMK.58968	sp|P98088|MUC5A_HUMAN	9.18949e-19	131/493(26.57)	94	Mucin-5AC (Fragments) OS=Homo sapiens GN=MUC5AC PE=1 SV=3
T1_Unigene_BMK.59021	sp|A4GE69|XMT1_COFCA	5.87104e-40	60/177(33.90)	97	7-methylxanthosine synthase 1 OS=Coffea canephora GN=XMT1 PE=1 SV=1
T1_Unigene_BMK.59126	sp|P00787|CATB_RAT	3.20277e-97	156/353(44.19)	298	Cathepsin B OS=Rattus norvegicus GN=Ctsb PE=1 SV=2
T1_Unigene_BMK.59278	sp|Q9LW86|SUT34_ARATH	0	280/423(66.19)	556	Probable sulfate transporter 3.4 OS=Arabidopsis thaliana GN=SULTR3;4 PE=2 SV=1
T1_Unigene_BMK.59315	sp|Q9SAK5|APL_ARATH	2.29703e-78	100/134(74.63)	198	Myb family transcription factor APL OS=Arabidopsis thaliana GN=APL PE=2 SV=2
T1_Unigene_BMK.59471	sp|P25685|DNJB1_HUMAN	1.02816e-24	54/153(35.29)	108	DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4
T1_Unigene_BMK.59525	sp|Q10S70|EXLA1_ORYSJ	4.71513e-157	227/281(80.78)	450	Expansin-like A1 OS=Oryza sativa subsp. japonica GN=EXLA1 PE=2 SV=1
T1_Unigene_BMK.59578	sp|Q09893|YAI5_SCHPO	3.21391e-16	69/223(30.94)	80	Uncharacterized protein C24B11.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC24B11.05 PE=3 SV=1
T1_Unigene_BMK.59799	sp|Q8H930|ARAE1_ORYSJ	0	382/414(92.27)	774	Probable UDP-arabinose 4-epimerase 1 OS=Oryza sativa subsp. japonica GN=UEL-1 PE=2 SV=2
T1_Unigene_BMK.59864	sp|Q39134|AAP3_ARATH	9.00219e-50	74/101(73.27)	169	Amino acid permease 3 OS=Arabidopsis thaliana GN=AAP3 PE=1 SV=2
T1_Unigene_BMK.59903	sp|Q9SK03|RAP27_ARATH	1.26523e-108	187/305(61.31)	335	Ethylene-responsive transcription factor RAP2-7 OS=Arabidopsis thaliana GN=RAP2-7 PE=2 SV=2
T1_Unigene_BMK.60092	sp|Q9UQ35|SRRM2_HUMAN	3.30605e-24	137/434(31.57)	112	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2
T1_Unigene_BMK.60120	sp|Q01548|PER2_HORVU	1.43011e-93	139/158(87.97)	283	Peroxidase 2 (Fragment) OS=Hordeum vulgare PE=2 SV=1
T1_Unigene_BMK.60208	sp|Q6ERW5|CAD8D_ORYSJ	0	279/353(79.04)	570	Probable cinnamyl alcohol dehydrogenase 8D OS=Oryza sativa subsp. japonica GN=CAD8D PE=2 SV=1
